물고기 꾸는 사람은 경간에 좋고 직장에 좋은 일이도 오다 .	물고기 꿈을 꾸는 사람은 건강에 좋고 직장에서 좋은 일도 생긴다 .
또 나쁜 꿈은 있으지도 므르다 .	또 나쁜 꿈도 있을지도 모른다 .
대만의 꿈풀이 중에서 고양이 꿈을 아니면 비가 오는 꿈 꾼다면 아마 나쁜 일이 오다 .	대만의 꿈풀이 중에서 고양이 꿈 아니면 비가 오는 꿈을 꾼다면 아마 나쁜 일이 생길 것인다 .
고양이 꿈 꾸면 시험이 떨어질 수 있다 .	고양이 꿈을 꾸면 시험에 떨어질 수 있다 .
원래 건강 안 좋은 사람은 더 나쁜 것이다 .	원래 건강이 안 좋은 사람은 더 나빠질 것이다 .
그리고 비가 오는 꿈은 꾸면 직장에 부딪히고 요즘 기분 안 좋은 것이다 .	그리고 비가 오는 꿈을 꾸면 직장에서 부딪치거나 요즘 기분이 안 좋아질 것이다 .
사람마다 생각을 달라서 완전히 믿얼 수 없다 .	사람마다 생각이 달라서 완전히 믿을 수 없다 .
꿈을 꾼면 그량 우리 머리에서 생각하는 일이 이다 .	꿈을 꾼다면 그냥 우리 머리에서 생각하는 일이 이다 .
그래서 많이 건정을 필요 없다 .	그래서 많이 걱정할 필요 없다 .
꿈은 아찍까지 꿈을 이다 .	꿈은 그냥 꿈을 이다 .
마음때로 살면 좋겠다 .	마음대로 살면 좋겠다 .
인간관계를 잘 유지하면 삶의 활력소가 되니만큼 잘 유지하는 것이 좋다 .	인간관계를 잘 유지하면 삶의 활력소가 되만큼 잘 유지하는 것이 좋다 .
그러니까 토론을 할 때마다 답답했다 .	그래서 토론을 할 때마다 답답했다 .
그래도 말하지 않 수 없는 경우도 많았다 .	그래도 말하지 않을 수 없는 경우도 많았다 .
한 명이나마 친한 선배를 만들 수 있고 다행이다 .	한 명이나마 친한 선배를 만들 수 있어서 다행이다 .
그래서 동아리 활동을 할 때도 어려움이 점점 감소되었다 .	그래서 동아리 활동을 할 때도 어려움이 점점 감소했다 .
나중에는 다른 선배들도 사이가 조금씩 좋아지는 것을 느꼈다 .	나중에는 다른 선배들과도 사이가 조금씩 좋아지는 것을 느꼈다 .
인간관계를 넓히려고든 먼저 너무 친한 친구를 만들어야 넓힐 수 있을 것이다 .	인간관계를 넓히려거든 먼저 매우 친한 친구를 만들어야 넓힐 수 있을 것이다 .
봄에 날씨가 따뜻해요 .	봄에는 날씨가 따뜻해요 .
여름에 날씨가 더워요 .	여름에는 날씨가 더워요 .
비가 저금 와요 .	비가 조금 와요 .
그리고 자전거 타요 .	그리고 자전거를 타요 .
가을에 날씨가 저금 더워요 .	가을에는 날씨가 조금 더워요 .
그리고 상책해요 .	그리고 산책해요 .
9월 1일 학교에서 수업ㅇ 시자돼요 .	9월 1일에 학교의 수업이 시작되어요 .
그래서 학생드리 학교에 가요 .	그래서 학생들이 학교에 가요 .
겨울에 날씨가 추워요 .	겨울에는 날씨가 추워요 .
사람들은 스키를 해요 .	사람들은 스키를 타요 .
겨울에 날씨가 추워요 .	겨울에는 날씨가 추워요 .
그리고 저는 친구하고 스키를 해요 .	그리고 저는 친구하고 스키를 타요 .
저는 경부대학교 어학원 1급 3반 학생입니다 .	저는 경북대학교 어학원 1급 3반 학생입니다 .
저는 평일에 어학원에 가고 매일 한국어를 공부합니다 .	저는 평일에 어학원에 가서 매일 한국어를 공부합니다 .
